Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Acacia grandifolia, ,Vulnerable,Acacia grandifolia,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Acacia handonis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia imitans,Gibson Wattle,Endangered,Acacia imitans,8-Jan-09,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Acacia insolita subsp. recurva,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia kingiana, ,Extinct,Acacia kingiana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia lanuginophylla,Woolly Wattle,Endangered,Acacia lanuginophylla,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia latzii,Latz's Wattle,Vulnerable,Acacia latzii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia lauta,Tara Wattle,Vulnerable,Acacia lauta,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia leptalea,Chinocup Wattle,Endangered,Acacia leptalea,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia leptoneura, ,Critically Endangered,Acacia leptoneura,24-Sep-15,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia lobulata,Chiddarcooping Wattle,Endangered,Acacia lobulata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
