Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Conostylis seorsiflora subsp. trichophylla,Hairy Mat Conostylis,Endangered,Conostylis seorsiflora subsp. trichophylla,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,Conostylis
Conostylis setigera subsp. dasys,Boscabel Conostylis,Critically Endangered,Conostylis setigera subsp. dasys,11-Jun-09,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,Conostylis
Conostylis wonganensis,Wongan Conostylis,Endangered,Conostylis wonganensis,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,Conostylis
Coopernookia georgei,Mauve Coopernookia,Endangered,Coopernookia georgei,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae,Coopernookia
Coopernookia scabridiuscula, ,Vulnerable,Coopernookia scabridiuscula,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae,Coopernookia
Cophixalus aenigma,Tapping Nursery-frog,Endangered,Cophixalus aenigma,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Microhylidae,Cophixalus
Cophixalus concinnus,Elegant Frog,Critically Endangered,Cophixalus concinnus,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Microhylidae,Cophixalus
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,Cophixalus hosmeri,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Microhylidae,Cophixalus
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,Cophixalus mcdonaldi,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Microhylidae,Cophixalus
Cophixalus monticola,Mountain-top Nursery-frog,Critically Endangered,Cophixalus monticola,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Microhylidae,Cophixalus
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,Cophixalus neglectus,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Microhylidae,Cophixalus
Coprosma baueri,Coastal Coprosma,Endangered,Coprosma baueri,25-Nov-03,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Coprosma
Coprosma pilosa,Mountain Coprosma,Endangered,Coprosma pilosa,25-Nov-03,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Coprosma
Corchorus cunninghamii,Native Jute,Endangered,Corchorus cunninghamii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tiliaceae,Corchorus
Cordyline obtecta,Ti,Vulnerable,Cordyline obtecta,25-Nov-03,Plantae,Magnoliophyta,Liliopsida,Liliales,Agavaceae,Cordyline
Corokia whiteana, ,Vulnerable,Corokia whiteana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Grossulariaceae,Corokia
Correa baeuerlenii,Chef's Cap,Vulnerable,Correa baeuerlenii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Correa
Correa calycina,Hindmarsh Correa,Vulnerable,Correa calycina,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Correa
Correa eburnea,Deep Creek Correa,Endangered,Correa eburnea,24-Jan-14,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Correa
Correa lawrenceana var. genoensis,Genoa River Correa,Endangered,Correa lawrenceana var. genoensis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Correa
Corunastylis brachystachya,Short-spiked Midge-orchid,Endangered,Corunastylis brachystachya,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corunastylis
Corunastylis ectopa,"Brindabella Midge-orchid, Ectopic Midge-orchid",Critically Endangered,Corunastylis ectopa,6-Jun-05,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corunastylis
Corunastylis firthii,Firth's Midge-orchid,Critically Endangered,Corunastylis firthii,16-Oct-01,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corunastylis
Corunastylis insignis,"Wyong Midge Orchid 1, Variable Midge Orchid 1",Critically Endangered,Corunastylis insignis,19-Jul-14,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corunastylis
Corunastylis littoralis,Tuncurry Midge Orchid,Critically Endangered,Corunastylis littoralis,22-Feb-11,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corunastylis
Corunastylis sp. Charmhaven (NSW 896673),Wyong Midge Orchid 2,Critically Endangered,Corunastylis sp. Charmhaven (NSW 896673),19-Jul-14,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corunastylis
Corybas dentatus,"Toothed Helmet-orchid, Finniss Helmet-orchid",Vulnerable,Corybas dentatus,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corybas
Corybas montanus,Small Helmet-orchid,Vulnerable,Corybas montanus,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corybas
Corybas sulcatus,Grooved Helmet-orchid,Critically Endangered,Corybas sulcatus,26-Feb-13,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Corybas
Corymbia clandestina, ,Vulnerable,Corymbia clandestina,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Corymbia
Corymbia leptoloma,Yellowjacket,Vulnerable,Corymbia leptoloma,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Corymbia
Corymbia rhodops, ,Vulnerable,Corymbia rhodops,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Corymbia
Corymbia xanthope,Glen Geddes Bloodwood,Vulnerable,Corymbia xanthope,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Corymbia
Corynocarpus rupestris subsp. rupestris,Glenugie Karaka,Vulnerable,Corynocarpus rupestris subsp. rupestris,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Corynocarpaceae,Corynocarpus
Cossinia australiana,Cossinia,Endangered,Cossinia australiana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Cossinia
Craspedia preminghana,Preminghana Billybutton,Endangered,Craspedia preminghana,6-Jul-04,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Craspedia
Craterocephalus fluviatilis,Murray Hardyhead,Endangered,Craterocephalus fluviatilis,16-Mar-12,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus
Crepidium lawleri, ,Endangered,Crepidium lawleri,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Crepidium
Crinia sloanei,Sloane's Froglet,Endangered,Crinia sloanei,4-Jul-19,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia
Crocidura trichura,Christmas Island Shrew,Critically Endangered,Crocidura trichura,15-Feb-18,Animalia,Chordata,Mammalia,Insectivora,Soricidae,Crocidura
Cryptoblepharus egeriae,"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically Endangered,Cryptoblepharus egeriae,3-Jan-14,Animalia,Chordata,Reptilia,Squamata,Scincidae,Cryptoblepharus
Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,Endangered,Cryptoblepharus gurrmul,11-May-18,Animalia,Chordata,Reptilia,Squamata,Scincidae,Cryptoblepharus
Cryptocarya foetida,"Stinking Cryptocarya, Stinking Laurel",Vulnerable,Cryptocarya foetida,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya
Cryptostylis hunteriana,Leafless Tongue-orchid,Vulnerable,Cryptostylis hunteriana,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Cryptostylis
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,Vulnerable,Ctenophorus yinnietharra,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Agamidae,Ctenophorus
Ctenopterella blechnoides, ,Vulnerable,Ctenopterella blechnoides,16-Jul-00,Plantae,Polypodiophyta,Polypodiatae,Polypodiales,Grammitidaceae,Ctenopterella
Ctenotus lancelini,Lancelin Island Skink,Vulnerable,Ctenotus lancelini,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Scincidae,Ctenotus
Ctenotus zastictus,Hamelin Ctenotus,Vulnerable,Ctenotus zastictus,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Scincidae,Ctenotus
Cupaniopsis shirleyana,Wedge-leaf Tuckeroo,Vulnerable,Cupaniopsis shirleyana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Cupaniopsis
Cupaniopsis tomentella,Boonah Tuckeroo,Vulnerable,Cupaniopsis tomentella,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Cupaniopsis
Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,Cyanoramphus cookii,16-Jul-00,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus
Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,Cyanoramphus novaezelandiae erythrotis,16-Jul-00,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,Cyanoramphus novaezelandiae subflavescens,16-Jul-00,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus
Cyathea exilis, ,Endangered,Cyathea exilis,16-Jul-00,Plantae,Polypodiophyta,Polypodiatae,Cyatheales,Cyatheaceae,Cyathea
Cycas cairnsiana,a cycad,Vulnerable,Cycas cairnsiana,16-Jul-00,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,Cycas
Cycas megacarpa, ,Endangered,Cycas megacarpa,16-Jul-00,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,Cycas
Cycas ophiolitica, ,Endangered,Cycas ophiolitica,16-Jul-00,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,Cycas
Cycas platyphylla,a cycad,Vulnerable,Cycas platyphylla,16-Jul-00,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,Cycas
Cycas silvestris, ,Vulnerable,Cycas silvestris,16-Jul-00,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,Cycas
Cyclodomorphus praealtus,Alpine She-oak Skink,Endangered,Cyclodomorphus praealtus,24-Dec-09,Animalia,Chordata,Reptilia,Squamata,Scincidae,Cyclodomorphus
Cyclophyllum costatum,a shrub,Vulnerable,Cyclophyllum costatum,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Cyclophyllum
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Endangered,Cyclopsitta diophthalma coxeni,16-Jul-00,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyclopsitta
Cynanchum elegans,White-flowered Wax Plant,Endangered,Cynanchum elegans,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum
Cyperus cephalotes, ,Endangered,Cyperus cephalotes,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Cyperus
Cyperus semifertilis, ,Vulnerable,Cyperus semifertilis,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Cyperus
Cyphanthera odgersii subsp. occidentalis,"Western Woolly Cyphanthera, Western Cyphanthera",Endangered,Cyphanthera odgersii subsp. occidentalis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Cyphanthera
Cyrtodactylus sadleiri,Christmas Island Giant Gecko,Endangered,Cyrtodactylus sadleiri,3-Jan-14,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Cyrtodactylus
Daphnandra johnsonii,Illawarra Socketwood,Endangered,Daphnandra johnsonii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Monimiaceae,Daphnandra
Darwinia acerosa,Fine-leaved Darwinia,Endangered,Darwinia acerosa,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia apiculata,Scarp Darwinia,Endangered,Darwinia apiculata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Darwinia
Darwinia biflora, ,Vulnerable,Darwinia biflora,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia carnea,"Mogumber Bell, Narrogin Bell",Endangered,Darwinia carnea,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia chapmaniana,Chapman's Bell,Endangered,Darwinia chapmaniana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia collina,Yellow Mountain Bell,Endangered,Darwinia collina,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia ferricola,Scott River Darwinia,Endangered,Darwinia ferricola,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia foetida,Muchea Bell,Critically Endangered,Darwinia foetida,11-Jun-09,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia masonii,Mason's Darwinia,Vulnerable,Darwinia masonii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia meeboldii,Cranbrook Bell,Vulnerable,Darwinia meeboldii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia nubigena,"Success Bell, Red Mountain Bell",Vulnerable,Darwinia nubigena,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia oxylepis,Gillam's Bell,Endangered,Darwinia oxylepis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia polychroma,Harlequin Bell,Endangered,Darwinia polychroma,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia squarrosa,"Fringed Mountain Bell, Pink Mountain Bell",Vulnerable,Darwinia squarrosa,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia whicherensis,Abba Bell,Endangered,Darwinia whicherensis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Darwinia wittwerorum,Wittwer's Mountain Bell,Endangered,Darwinia wittwerorum,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Darwinia
Dasymalla axillaris,Native Foxglove,Critically Endangered,Dasymalla axillaris,19-Aug-10,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Dasymalla
Dasyornis brachypterus,Eastern Bristlebird,Endangered,Dasyornis brachypterus,16-Jul-00,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,Dasyornis
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,Dasyornis broadbenti litoralis,16-Jul-00,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,Dasyornis
Dasyornis longirostris,Western Bristlebird,Endangered,Dasyornis longirostris,15-Feb-18,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,Dasyornis
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat ",Vulnerable,Dasyuroides byrnei,16-Jul-00,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyuroides
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Dasyurus geoffroii,16-Jul-00,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyurus
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Dasyurus hallucatus,12-Apr-05,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyurus
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri ",Endangered,Dasyurus maculatus gracilis,16-Jul-00,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyurus
Dasyurus maculatus maculatus (SE mainland population),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Dasyurus maculatus maculatus (SE mainland population),14-May-04,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyurus
Dasyurus maculatus maculatus (Tasmanian population),"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,Dasyurus maculatus maculatus (Tasmanian population),14-May-04,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyurus
Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Dasyurus viverrinus,3-Dec-15,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,Dasyurus
Davidsonia jerseyana,Davidson's Plum,Endangered,Davidsonia jerseyana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,Davidsonia
Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Endangered,Davidsonia johnsonii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,Davidsonia
Daviesia bursarioides,Three Springs Daviesia,Endangered,Daviesia bursarioides,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia cunderdin,Cunderdin Daviesia,Endangered,Daviesia cunderdin,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia dielsii,Diels' Daviesia,Endangered,Daviesia dielsii,11-Jun-09,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia discolor, ,Vulnerable,Daviesia discolor,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia elongata subsp. elongata,Long-leaved Daviesia,Vulnerable,Daviesia elongata subsp. elongata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia euphorbioides,Wongan Cactus,Endangered,Daviesia euphorbioides,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia glossosema,Maroon-flowered Daviesia,Critically Endangered,Daviesia glossosema,18-Aug-06,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia laevis,Grampians Bitter-pea,Vulnerable,Daviesia laevis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia megacalyx,Long-sepalled Daviesia,Endangered,Daviesia megacalyx,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia microcarpa,Norseman Pea,Endangered,Daviesia microcarpa,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia obovata,Paddle-leaf Daviesia,Endangered,Daviesia obovata,8-Jan-09,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia ovata,Broad-leaf Daviesia,Critically Endangered,Daviesia ovata,11-May-18,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia pseudaphylla,Stirling Range Daviesia,Endangered,Daviesia pseudaphylla,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Daviesia speciosa,Beautiful Daviesia,Endangered,Daviesia speciosa,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Daviesia
Decaspermum struckoilicum, ,Endangered,Decaspermum struckoilicum,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum
Delma impar,"Striped Legless Lizard, Striped Snake-lizard",Vulnerable,Delma impar,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,Delma
Delma mitella,"Atherton Delma, Legless Lizard",Vulnerable,Delma mitella,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,Delma
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Delma torquata,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,Delma
Dendrobium antennatum,Antelope Orchid,Endangered,Dendrobium antennatum,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dendrobium
Dendrobium bigibbum,Cooktown Orchid,Vulnerable,Dendrobium bigibbum,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dendrobium
Dendrobium brachypus,Norfolk Island Orchid,Endangered,Dendrobium brachypus,25-Nov-03,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dendrobium
Dendrobium johannis,Chocolate Tea Tree Orchid,Vulnerable,Dendrobium johannis,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dendrobium
Dendrobium mirbelianum,"Dark-stemmed Antler Orchid, Mangrove Orchid",Endangered,Dendrobium mirbelianum,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dendrobium
Dendrobium nindii,an orchid,Endangered,Dendrobium nindii,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dendrobium
Denhamia parvifolia,Small-leaved Denhamia,Vulnerable,Denhamia parvifolia,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae,Denhamia
Denisonia maculata,Ornamental Snake,Vulnerable,Denisonia maculata,16-Jul-00,Animalia,Chordata,Reptilia,Squamata,Elapidae,Denisonia
Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Dermochelys coriacea,8-Jan-09,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys
Desmodium acanthocladum,Thorny Pea,Vulnerable,Desmodium acanthocladum,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium
Deyeuxia appressa, ,Endangered,Deyeuxia appressa,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Deyeuxia
Deyeuxia drummondii,"Drummond's Grass, Drummond Grass",Endangered,Deyeuxia drummondii,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Deyeuxia
Deyeuxia lawrencei, ,Extinct,Deyeuxia lawrencei,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Deyeuxia
Deyeuxia pungens,Narrow-leaf Bent-grass,Vulnerable,Deyeuxia pungens,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Deyeuxia
Dianella amoena,Matted Flax-lily,Endangered,Dianella amoena,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Liliales,Phormiaceae,Dianella
Dichanthium queenslandicum,King Blue-grass,Endangered,Dichanthium queenslandicum,26-Feb-13,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Dichanthium
Dichanthium setosum,bluegrass,Vulnerable,Dichanthium setosum,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Dichanthium
Didymoglossum exiguum, ,Extinct,Didymoglossum exiguum,16-Jul-00,Plantae,Polypodiophyta,Polypodiatae,Hymenophyllales,Hymenophyllaceae,Didymoglossum
Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Diomedea amsterdamensis,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diomedea antipodensis,Antipodean Albatross,Vulnerable,Diomedea antipodensis,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diomedea antipodensis gibsoni,Gibson's Albatross,Vulnerable,Diomedea antipodensis gibsoni,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diomedea dabbenena,Tristan Albatross,Endangered,Diomedea dabbenena,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diomedea epomophora,Southern Royal Albatross,Vulnerable,Diomedea epomophora,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diomedea exulans,Wandering Albatross,Vulnerable,Diomedea exulans,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diomedea sanfordi,Northern Royal Albatross,Endangered,Diomedea sanfordi,16-Jul-00,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea
Diospyros mabacea,"Red-fruited Ebony, Silky Persimmon, Ebony",Endangered,Diospyros mabacea,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Ebenales,Ebenaceae,Diospyros
Diplazium cordifolium, ,Vulnerable,Diplazium cordifolium,16-Jul-00,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Athyriaceae,Diplazium
Diplazium pallidum, ,Endangered,Diplazium pallidum,16-Jul-00,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Athyriaceae,Diplazium
Diploglottis campbellii,Small-leaved Tamarind,Endangered,Diploglottis campbellii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Diploglottis
Diplolaena andrewsii, ,Endangered,Diplolaena andrewsii,15-Feb-18,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Diplolaena
Dipodium campanulatum,Bell Flower Hyacinth Orchid,Endangered,Dipodium campanulatum,21-May-15,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dipodium
Dipodium pictum, ,Endangered,Dipodium pictum,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dipodium
Dischidia litoralis, ,Vulnerable,Dischidia litoralis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Dischidia
Diuris aequalis,Buttercup Doubletail,Vulnerable,Diuris aequalis,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris
Diuris basaltica,"Small Golden Moths Orchid, Early Golden Moths",Endangered,Diuris basaltica,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris
Diuris bracteata, ,Extinct,Diuris bracteata,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris
Diuris drummondii,Tall Donkey Orchid,Vulnerable,Diuris drummondii,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris
Diuris eborensis, ,Endangered,Diuris eborensis,11-May-18,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris
