,Species,Common_Name,Category,Presence_Type,Kingdom,Phylum,Class,Order,Family,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Location 11,Location 12,Location 13,Location 14,Location 15,Location 16,
369,Caladenia xanthochila,Yellow-lip Spider-orchid,Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,NSW, SA, VIC,,,,,,,,,,,,,,
370,Caladenia xantholeuca,"White Rabbits, Flinders Ranges White Caladenia",Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,SA,,,,,,,,,,,,,,,,
371,Calamanthus pyrrhopygius parkeri,Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,SA,,,,,,,,,,,,,,,,
372,Calectasia cyanea,Blue Tinsel Lily,Critically Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Dasypogonaceae,WA,,,,,,,,,,,,,,,,
373,Calectasia pignattiana,Stilted Tinsel Lily,Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Dasypogonaceae,WA,,,,,,,,,,,,,,,,
374,Calidris canutus,"Red Knot, Knot",Endangered,Present,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,NSW, NT, OCE, QLD, SA, TAS, VIC, WA,,,,,,,,,
375,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Present,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA,,,,,,,,
376,Calidris tenuirostris,Great Knot,Critically Endangered,Present,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,NSW, NT, OCE, QLD, SA, TAS, VIC, WA,,,,,,,,,
377,Callistemon forresterae,Forrester's Bottlebrush,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW, VIC,,,,,,,,,,,,,,,
378,Callistemon kenmorrisonii,Betka Bottlebrush,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,VIC,,,,,,,,,,,,,,,,
379,Callistemon megalongensis,Megalong Valley Bottlebrush,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW,,,,,,,,,,,,,,,,
380,Callistemon pungens,,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW, QLD,,,,,,,,,,,,,,,
381,Callistemon purpurascens,a bottlebrush,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW,,,,,,,,,,,,,,,,
382,Callistemon wimmerensis,Wimmera Bottlebrush,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,VIC,,,,,,,,,,,,,,,,
383,Callitris oblonga,"Pygmy Cypress-pine, Pigmy Cypress-pine, Dwarf Cypress-pine",Vulnerable,Present,Plantae,Pinophyta,Pinatae,Pinales,Cupressaceae,NSW, TAS,,,,,,,,,,,,,,,
384,Callitris oblonga subsp. oblonga,South Esk Pine,Endangered,Endemic,Plantae,Pinophyta,Pinatae,Pinales,Cupressaceae,TAS,,,,,,,,,,,,,,,,
385,Calochilus cupreus,Copper Beard Orchid,Critically Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,SA,,,,,,,,,,,,,,,,
386,Calochilus psednus,Cardwell Beard Orchid,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,QLD,,,,,,,,,,,,,,,,
387,Calochilus richiae,Bald-tip Beard-orchid,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,VIC,,,,,,,,,,,,,,,,
388,Calophyllum bicolor,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Theales,Clusiaceae,QLD,,,,,,,,,,,,,,,,
389,Caloprymnus campestris,Desert Rat-kangaroo,Extinct,Extinct,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,QLD, SA,,,,,,,,,,,,,,,
390,Calotis glandulosa,Mauve Burr-daisy,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,ACT, NSW,,,,,,,,,,,,,,,
391,Calotis moorei,Moore's Burr-daisy,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,NSW,,,,,,,,,,,,,,,,
392,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,Endangered,Present,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,SA, VIC,,,,,,,,,,,,,,,
393,Calyptorhynchus banksii naso,"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,Endemic,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,WA,,,,,,,,,,,,,,,,
394,Calyptorhynchus baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Endemic,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,WA,,,,,,,,,,,,,,,,
395,Calyptorhynchus lathami halmaturinus,"Glossy Black-Cockatoo (Kangaroo Island), Glossy Black-Cockatoo (South Australian)",Endangered,Endemic,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,SA,,,,,,,,,,,,,,,,
396,Calyptorhynchus latirostris,"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,Endemic,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,WA,,,,,,,,,,,,,,,,
397,Calystegia affinis,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Convolvulaceae,AET, NI, NSW,,,,,,,,,,,,,,
398,Calytrix breviseta subsp. breviseta,Swamp Starflower,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,WA,,,,,,,,,,,,,,,,
399,Calytrix gurulmundensis,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,QLD,,,,,,,,,,,,,,,,
400,Canarium acutifolium,,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Burseraceae,QLD,,,,,,,,,,,,,,,,
401,Capparis thozetiana,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Capparaceae,QLD,,,,,,,,,,,,,,,,
402,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),Critically Endangered,Present,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,NSW, OCE, QLD, TAS, TER, VIC,,,,,,,,,,,
403,Carcharias taurus (west coast population),Grey Nurse Shark (west coast population),Vulnerable,Present,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,OCE, WA,,,,,,,,,,,,,,,
404,Carcharodon carcharias,"White Shark, Great White Shark",Vulnerable,Present,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,ACR, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA,,,
405,Caretta caretta,Loggerhead Turtle,Endangered,Present,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,ACR, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA,,,
406,Carronia pedicellata,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Menispermaceae,QLD,,,,,,,,,,,,,,,,
407,Cassinia rugata,"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,VIC,,,,,,,,,,,,,,,,
408,Cassinia rugata,"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,SA, TAS,,,,,,,,,,,,,,,
409,Cassinia tegulata,Avenue Cassinia,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,SA,,,,,,,,,,,,,,,,
410,Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,Endemic,Animalia,Chordata,Aves,Struthioniformes,Casuariidae,QLD,,,,,,,,,,,,,,,,
411,Centrolepis pedderensis,"Pedder Centrolepis, Pedder Bristlewort",Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Restionales,Centrolepidaceae,TAS,,,,,,,,,,,,,,,,
412,Centrophorus harrissoni,"Harrisson's Dogfish, Endeavour Dogfish, Dumb Gulper Shark, Harrison's Deepsea Dogfish",Conservation Dependent,Present,Animalia,Chordata,Chondrichthyes,Sqaliformes,Squalidae,CSI, NI, OCE,,,,,,,,,,,,,,
413,Centrophorus zeehaani,"Southern Dogfish, Endeavour Dogfish, Little Gulper Shark",Conservation Dependent,Present,Animalia,Chordata,Chondrichthyes,Sqaliformes,Squalidae,OCE, SA,,,,,,,,,,,,,,,
414,Cepobaculum carronii,an orchid,Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,QLD,,,,,,,,,,,,,,,,
415,Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Endemic,Animalia,Chordata,Aves,Anseriformes,Anatidae,WA,,,,,,,,,,,,,,,,
416,Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Present,Animalia,Chordata,Aves,Anseriformes,Anatidae,OCE,,,,,,,,,,,,,,,,
417,Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,Endangered,Endemic,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,TAS,,,,,,,,,,,,,,,,
418,Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,Extinct,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,NSW, NT, SA, VIC, WA,,,,,,,,,,,,
419,Chalcophaps indica natalis,"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,Endemic,Animalia,Chordata,Aves,Columbiformes,Columbidae,AET, CI,,,,,,,,,,,,,,,
420,Chalinolobus dwyeri,"Large-eared Pied Bat, Large Pied Bat",Vulnerable,Present,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,NSW, QLD, TER,,,,,,,,,,,,,,
421,Chamelaucium sp. Cataby (G.J.Keighery 11009),Griffin's Waxflower,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,WA,,,,,,,,,,,,,,,,
422,Chamelaucium sp. Gingin (N.G.Marchant 6),Gingin Wax,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,WA,,,,,,,,,,,,,,,,
423,Chamelaucium sp. S coastal plain (R.D.Royce 4872),Royce's Waxflower,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,WA,,,,,,,,,,,,,,,,
424,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Present,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,ACR, CI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA,,,,,,,
425,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Present,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,CSI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA,,,,,,,,
426,Cheiranthera volubilis,Twining Finger-flower,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Pittosporaceae,SA,,,,,,,,,,,,,,,,
427,Chelonia mydas,Green Turtle,Vulnerable,Present,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,ACR, AET, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA,,
428,Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,Endemic,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,WA,,,,,,,,,,,,,,,,
429,Chingia australis,,Endangered,Endemic,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Thelypteridaceae,QLD,,,,,,,,,,,,,,,,
430,Chlamydogobius micropterus,Elizabeth Springs Goby,Endangered,Endemic,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,QLD,,,,,,,,,,,,,,,,
431,Chlamydogobius squamigenus,Edgbaston Goby,Vulnerable,Endemic,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,QLD,,,,,,,,,,,,,,,,
432,Chordifex abortivus,Manypeaks Rush,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Restionales,Restionaceae,WA,,,,,,,,,,,,,,,,
433,Chorizema humile,Prostrate Flame Pea,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
434,Chorizema varium,Limestone Pea,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
435,Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko ",Vulnerable,Present,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,AET, NI, NSW,,,,,,,,,,,,,,
436,Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,Endemic,Animalia,Chordata,Aves,Passeriformes,Psophodidae,SA,,,,,,,,,,,,,,,,
437,Clausena excavata,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NT,,,,,,,,,,,,,,,,
438,Clematis dubia,"a creeper, Clematis",Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,AET, NI,,,,,,,,,,,,,,,
439,Clematis fawcettii,Stream Clematis,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,NSW, QLD,,,,,,,,,,,,,,,
440,Codonocarpus pyramidalis,"Slender Bell-fruit, Camel Poison",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Batales,Gyrostemonaceae,SA,,,,,,,,,,,,,,,,
441,Codonocarpus pyramidalis,"Slender Bell-fruit, Camel Poison",Vulnerable,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Batales,Gyrostemonaceae,NSW,,,,,,,,,,,,,,,,
442,Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,Vulnerable,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,NSW, QLD,,,,,,,,,,,,,,,
443,Coleanthera virgata,Hidden Coleanthera,Extinct,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
444,Colobanthus curtisiae,Curtis' Colobanth,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,TAS,,,,,,,,,,,,,,,,
445,Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,Extinct,Animalia,Chordata,Aves,Columbiformes,Columbidae,NSW,,,,,,,,,,,,,,,,
446,Comesperma oblongatum,Byfield Matchstick,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Polygalales,Polygalaceae,QLD,,,,,,,,,,,,,,,,
447,Commersonia apella,Many-flowered Commersonia,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,WA,,,,,,,,,,,,,,,,
448,Commersonia erythrogyna,Trigwell's Rulingia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,WA,,,,,,,,,,,,,,,,
449,Commersonia prostrata,Dwarf Kerrawang,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,NSW, VIC,,,,,,,,,,,,,,,
450,Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,Extinct,Animalia,Chordata,Mammalia,Rodentia,Muridae,NSW, QLD, SA, VIC,,,,,,,,,,,,,
451,Conilurus penicillatus,"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,Present,Animalia,Chordata,Mammalia,Rodentia,Muridae,NT, QLD, WA,,,,,,,,,,,,,,
452,Conospermum densiflorum subsp. unicephalatum,One-headed Smokebush,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
453,Conospermum galeatum,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
454,Conospermum hookeri,Variable Smoke-bush,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,TAS,,,,,,,,,,,,,,,,
455,Conospermum undulatum,Wavy-leaved Smokebush,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
456,Conostylis dielsii subsp. teres,Irwin's Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
457,Conostylis drummondii,Drummond's Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
458,Conostylis lepidospermoides,Sedge Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
459,Conostylis micrantha,Small-flowered Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
460,Conostylis misera,Grass Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
461,Conostylis rogeri,"Kulin Conostylis, Single-flowered Conostylis",Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
462,Conostylis seorsiflora subsp. trichophylla,Hairy Mat Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
463,Conostylis setigera subsp. dasys,Boscabel Conostylis,Critically Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
464,Conostylis wonganensis,Wongan Conostylis,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,WA,,,,,,,,,,,,,,,,
465,Coopernookia georgei,Mauve Coopernookia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae,WA,,,,,,,,,,,,,,,,
466,Coopernookia scabridiuscula,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae,QLD,,,,,,,,,,,,,,,,
467,Cophixalus aenigma,Tapping Nursery-frog,Endangered,Present,Animalia,Chordata,Amphibia,Anura,Microhylidae,QLD,,,,,,,,,,,,,,,,
468,Cophixalus concinnus,Elegant Frog,Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Microhylidae,QLD,,,,,,,,,,,,,,,,
469,Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Microhylidae,QLD,,,,,,,,,,,,,,,,
470,Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Microhylidae,QLD,,,,,,,,,,,,,,,,
471,Cophixalus monticola,Mountain-top Nursery-frog,Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Microhylidae,QLD,,,,,,,,,,,,,,,,
472,Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Microhylidae,QLD,,,,,,,,,,,,,,,,
473,Coprosma baueri,Coastal Coprosma,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,AET, NI,,,,,,,,,,,,,,,
474,Coprosma pilosa,Mountain Coprosma,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,AET, NI,,,,,,,,,,,,,,,
475,Corchorus cunninghamii,Native Jute,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tiliaceae,NSW, QLD,,,,,,,,,,,,,,,
476,Cordyline obtecta,Ti,Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Liliales,Agavaceae,AET, NI,,,,,,,,,,,,,,,
477,Corokia whiteana,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Grossulariaceae,NSW,,,,,,,,,,,,,,,,
478,Correa baeuerlenii,Chef's Cap,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NSW,,,,,,,,,,,,,,,,
479,Correa calycina,Hindmarsh Correa,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,SA,,,,,,,,,,,,,,,,
480,Correa eburnea,Deep Creek Correa,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,SA,,,,,,,,,,,,,,,,
481,Correa lawrenceana var. genoensis,Genoa River Correa,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NSW, VIC,,,,,,,,,,,,,,,
482,Corunastylis brachystachya,Short-spiked Midge-orchid,Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,TAS,,,,,,,,,,,,,,,,
483,Corunastylis ectopa,"Brindabella Midge-orchid, Ectopic Midge-orchid",Critically Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,ACT,,,,,,,,,,,,,,,,
484,Corunastylis firthii,Firth's Midge-orchid,Critically Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,TAS,,,,,,,,,,,,,,,,
485,Corunastylis insignis,"Wyong Midge Orchid 1, Variable Midge Orchid 1",Critically Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,NSW,,,,,,,,,,,,,,,,
486,Corunastylis littoralis,Tuncurry Midge Orchid,Critically Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,NSW,,,,,,,,,,,,,,,,
487,Corunastylis sp. Charmhaven (NSW 896673),Wyong Midge Orchid 2,Critically Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,NSW,,,,,,,,,,,,,,,,
488,Corybas dentatus,"Toothed Helmet-orchid, Finniss Helmet-orchid",Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,SA,,,,,,,,,,,,,,,,
489,Corybas montanus,Small Helmet-orchid,Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,QLD,,,,,,,,,,,,,,,,
490,Corybas sulcatus,Grooved Helmet-orchid,Critically Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,AET, TAS,,,,,,,,,,,,,,,
491,Corymbia clandestina,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,QLD,,,,,,,,,,,,,,,,
492,Corymbia leptoloma,Yellowjacket,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,QLD,,,,,,,,,,,,,,,,
493,Corymbia rhodops,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,QLD,,,,,,,,,,,,,,,,
494,Corymbia xanthope,Glen Geddes Bloodwood,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,QLD,,,,,,,,,,,,,,,,
495,Corynocarpus rupestris subsp. rupestris,Glenugie Karaka,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Corynocarpaceae,NSW,,,,,,,,,,,,,,,,
496,Cossinia australiana,Cossinia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,QLD,,,,,,,,,,,,,,,,
497,Craspedia preminghana,Preminghana Billybutton,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,TAS,,,,,,,,,,,,,,,,
498,Craterocephalus fluviatilis,Murray Hardyhead,Endangered,Present,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,NSW, SA, VIC,,,,,,,,,,,,,,
499,Crepidium lawleri,,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,QLD,,,,,,,,,,,,,,,,
500,Crinia sloanei,Sloane's Froglet,Endangered,Present,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,NSW, VIC,,,,,,,,,,,,,,,
501,Crocidura trichura,Christmas Island Shrew,Critically Endangered,Endemic,Animalia,Chordata,Mammalia,Insectivora,Soricidae,AET, CI,,,,,,,,,,,,,,,
502,Cryptoblepharus egeriae,"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically Endangered,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,AET, CI,,,,,,,,,,,,,,,
503,Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,Endangered,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,NT,,,,,,,,,,,,,,,,
504,Cryptocarya foetida,"Stinking Cryptocarya, Stinking Laurel",Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,NSW, QLD,,,,,,,,,,,,,,,
505,Cryptostylis hunteriana,Leafless Tongue-orchid,Vulnerable,Present,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,NSW, QLD, TER, VIC,,,,,,,,,,,,,
506,Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,Vulnerable,Endemic,Animalia,Chordata,Reptilia,Squamata,Agamidae,WA,,,,,,,,,,,,,,,,
507,Ctenopterella blechnoides,,Vulnerable,Endemic,Plantae,Polypodiophyta,Polypodiatae,Polypodiales,Grammitidaceae,QLD,,,,,,,,,,,,,,,,
508,Ctenotus lancelini,Lancelin Island Skink,Vulnerable,Endemic,Animalia,Chordata,Reptilia,Squamata,Scincidae,WA,,,,,,,,,,,,,,,,
509,Ctenotus zastictus,Hamelin Ctenotus,Vulnerable,Endemic,Animalia,Chordata,Reptilia,Squamata,Scincidae,WA,,,,,,,,,,,,,,,,
510,Cupaniopsis shirleyana,Wedge-leaf Tuckeroo,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,QLD,,,,,,,,,,,,,,,,
511,Cupaniopsis tomentella,Boonah Tuckeroo,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,QLD,,,,,,,,,,,,,,,,
512,Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,Endemic,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,AET, NI,,,,,,,,,,,,,,,
513,Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,Extinct,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,AET, TAS,,,,,,,,,,,,,,,
