,Species,Common_Name,Category,Presence_Type,Kingdom,Phylum,Class,Order,Family,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Location 11,Location 12,Location 13,Location 14,Location 15,Location 16,
34,Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA, VIC,,,,,,,,,,,,,,,
35,Acacia gordonii,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW,,,,,,,,,,,,,,,,
36,Acacia grandifolia,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
37,Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
38,Acacia imitans,Gibson Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
39,Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
40,Acacia kingiana,,Extinct,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
41,Acacia lanuginophylla,Woolly Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
42,Acacia latzii,Latz's Wattle,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NT, SA,,,,,,,,,,,,,,,
43,Acacia lauta,Tara Wattle,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
44,Acacia leptalea,Chinocup Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
45,Acacia leptoneura,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
46,Acacia lobulata,Chiddarcooping Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
47,Acacia macnuttiana,McNutt's Wattle,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW,,,,,,,,,,,,,,,,
48,Acacia meiantha,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW,,,,,,,,,,,,,,,,
49,Acacia menzelii,Menzel's Wattle,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
50,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NT, QLD, SA,,,,,,,,,,,,,,
51,Acacia pharangites,Wongan Gully Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
52,Acacia phasmoides,Phantom Wattle,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW, VIC,,,,,,,,,,,,,,,
53,Acacia pickardii,Birds Nest Wattle,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NT, SA,,,,,,,,,,,,,,,
54,Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
55,Acacia porcata,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
56,Acacia praemorsa,Senna Wattle,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
57,Acacia praetermissa,a shrub,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NT,,,,,,,,,,,,,,,,
58,Acacia prismifolia,Diels' Wattle,Extinct,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
59,Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW,,,,,,,,,,,,,,,,
60,Acacia pubifolia,Velvet Wattle,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW, QLD,,,,,,,,,,,,,,,
61,Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
62,Acacia pycnostachya,Bolivia Wattle,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW, QLD,,,,,,,,,,,,,,,
63,Acacia pygmaea,Dwarf Rock Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
64,Acacia recurvata,Recurved Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
65,Acacia rhamphophylla,Kundip Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
66,Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
67,Acacia ruppii,Rupp's Wattle,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW, QLD,,,,,,,,,,,,,,,
68,Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
69,Acacia spilleriana,Spiller's Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
70,Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
71,Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
72,Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW,,,,,,,,,,,,,,,,
73,Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NT,,,,,,,,,,,,,,,,
