Current Name and SPRAT ID,Current Name and SPRAT ID,Current Name and SPRAT ID,"EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ",EPBC Act Documents ,EPBC Act Documents ,EPBC Act Documents ,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,"State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence"
Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Bonn,Listed Name Bonn,CAMBA,Listed Name Camba,JAMBA,Listed Name Jamba,ROKAMBA,Listed Name Rokamba,Marine Status,Listed Name Marine,Cetacean,Finalised Priority Assessment List (FPAL),Listed Name FPAL,Conservation Advice,Recovery Plan,Recovery Plan Decisions,Kingdom,Phylum,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
2700,Discaria nitida,Leafy Anchor Plant,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,Discaria,dicots (two seed leaves),,,Vulnerable,Discaria nitida,,,,,,,,,Threatened (Endangered),Discaria nitida (Discaria nitida),,,,,,Present,,,,,Present,,,,,,,,,,
7160,Discaria pubescens,Australian Anchor-plant,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,Discaria,dicots (two seed leaves),,,,,,,Near Threatened,Discaria pubescens,,,Endangered,Discaria pubescens,Threatened (Rare),Discaria pubescens (Discaria pubescens),,,,,Present,Present,,Present,,Present,Present,,,,,,,,,,
82026,Dischidia litoralis, ,Vulnerable,Dischidia litoralis,16-Jul-00,,,,,,,,,,,,,,,16-Dec-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Dischidia,dicots (two seed leaves),,,,,,,Vulnerable,Dischidia littoralis,,,,,,,,,,,,,,"Endemic, Endemic",,,,,,,,,,,,,
14058,Diselma archeri, ,,,,,,,,,,,,,,,,,,,,,Plantae,Pinophyta,Pinatae,Pinales,Cupressaceae,Diselma,pine trees,,,,,,,,,,,,,,,,,Least Concern,Diselma archeri,,,,,,,,,,,,,,,,,
66049,Dissiliaria tuckeri, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Dissiliaria,dicots (two seed leaves),,,,,,,Vulnerable,Dissiliaria tuckeri,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
13763,Dissocarpus biflorus var. biflorus,"Twin-leaved Copperburr, Bassia",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Dissocarpus,dicots (two seed leaves),,,,,,,,,,,,, (Rare), (Dissocarpus biflorus var. biflorus),,,,,,,,,,,,,,,,,,,,,
69133,Dissostichus eleginoides,Patagonian Toothfish,,,,,,,,,,,,,,,,Completed,Dissostichus eleginoides,,,,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,ray-finned fishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Disteira kingii,Spectacled Seasnake,,,,,,,,,,,,,Listed,Disteira kingii,,,,,,,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,Disteira,reptiles,,,,,,,,,,,,,,,,,,,,,Present,Present,,,,Present,,,,,,,,,Present
1124,Disteira major,Olive-headed Seasnake,,,,,,,,,,,,,Listed,Disteira major,,,,,,,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,Disteira,reptiles,,,,,,,,,,,,,,,,,,,,,Present,Present,,,,Present,,,,,,,,,Present
85722,Distichium capillaceum,Fine Fringe-moss,,,,,,,,,,,,,,,,,,,,,Plantae,Bryophyta,Bryopsida,Pottiales,Ditrichaceae,Distichium,true mosses,,,,,,,,,,,,, (Vulnerable), (Distichium capillaceum),,,,,,,,,,,,,,,,,,,,,
10062,Distichlis distichophylla,Australian Salt-grass,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Distichlis,monocots (single seed leaf),,,Endangered,Distichlis distichophylla,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
82839,Diteilis simmondsii, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diteilis,monocots (single seed leaf),,,,,,,Near Threatened,Diteilis simmondsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
86579,Ditropis whitei,land snail,,,,,,,,,,,,,,,,,,,,,Animalia,Mollusca,Gastropoda,Architaenioglossa,Cyclophoridae,Ditropis,"snails, slugs",,,,,,,,,,,,,,,,,Vulnerable,Ditropis whitei,,,,,,,,,,,,,,,,,
21588,Diuris aequalis,Buttercup Doubletail,Vulnerable,Diuris aequalis,16-Jul-00,,,,,,,,,,,,,30/10/2020,Diuris aequalis,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris aequalis,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
84682,Diuris arenaria,Sand Double tail,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris arenaria,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
64654,Diuris basaltica,"Small Golden Moths Orchid, Early Golden Moths",Endangered,Diuris basaltica,16-Jul-00,,,,,,,,,,,,,,,,16-Dec-10,Recovery Plan required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened (Endangered),Diuris sp. aff. lanceolata (Laverton) (Diuris basaltica),,,,,,,,,,,"Endemic, Present, Present",,,,,,,,,,
2038,Diuris behrii,Behr's Cowslip Orchid,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,Vulnerable,Diuris behrii,,, (Vulnerable), (Diuris behrii),,,,,,,,,Present,,,,,,,,,,,,
20090,Diuris bracteata, ,Extinct,Diuris bracteata,16-Jul-00,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris bracteata,,,,,,,,,,,,,,,,Extinct,,,,,,,,,,,,,,,
14921,Diuris brevifolia,Short-leaf Donkey-orchid,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,Endangered,Diuris brevifolia,,,,,,,,,,,,,Present,,,,,,,,,,,,
78584,Diuris byronensis, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris byronensis,,,,,,,,,,,,,Critically Endangered,Diuris byronensis,,Present,,,,,,,,,,,,,,,
78582,Diuris callitrophila,"Oakland Diuris, Oaklands Doubletail Orchid",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris sp. (Oaklands D.L.Jones 5380),,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
75749,Diuris chryseopsis, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,Endangered,Diuris chryseopsis,,,,,,,,,,,,,Present,,,,,,,,,,,,
17646,Diuris cuneata, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened,Diuris cuneata,,,,,,,,,,,Present,,,,,,,,,,
84592,Diuris daltonii,"Western Purple Diuris, Western Donkey Orchid",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened (Vulnerable),Diuris daltonii (Diuris daltonii),,,,,,,,,,,Present,,,,,,,,,,
37956,Diuris dendrobioides, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,, (Endangered), (Diuris dendrobioides),,,,,,,,,,,,,,,,,,,,,
55072,Diuris disposita,Kempsey Doubletail,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris disposita,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
4365,Diuris drummondii,Tall Donkey Orchid,Vulnerable,Diuris drummondii,16-Jul-00,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,,,Vulnerable,Diuris drummondii,,,,,,,,,,Endemic,,,,,,,,,
88275,Diuris eborensis, ,Endangered,Diuris eborensis,11-May-18,,,,,,,,,,,,,Completed,Diuris eborensis,11-May-18,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris eborensis,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
55075,Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,Diuris flavescens,24-Jan-14,,,,,,,,,,,,,,,24-Jan-14,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Critically Endangered,Diuris flavescens,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
21243,Diuris fragrantissima,"Sunshine Diuris, Fragrant Doubletail, White Diuris",Endangered,Diuris fragrantissima,16-Jul-00,,,,,,,,,,,,,,,,27-Mar-08,Recovery Plan required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened (Endangered),Diuris fragrantissima (Diuris fragrantissima),,,,,,,,,,,Endemic,,,,,,,,,,
84591,Diuris gregaria,Clumping Golden Moths,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened (Endangered),Diuris gregaria (Diuris gregaria),,,,,,,,,,,Present,,,,,,,,,,
10231,Diuris lanceolata,Snake Orchid,Endangered,Diuris lanceolata,16-Jul-00,,,,,,,,,,,,,,,,18-Aug-17,Recovery Plan required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,Endangered,Diuris lanceolata,,,,,,,,,,,,Endemic,,,,,,,,,,,
55082,Diuris micrantha,Dwarf Bee-orchid,Vulnerable,Diuris micrantha,16-Jul-00,,,,,,,,,,,,,,,3-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,,,Vulnerable,Diuris micrantha,,,,,,,,,,Endemic,,,,,,,,,
64565,Diuris ochroma,Pale Golden Moths,Vulnerable,Diuris ochroma,16-Jul-00,,,,,,,,,,,,,,,16-Dec-16,18-Aug-04,Recovery Plan required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris ochroma,,,,,,,,,Threatened (Endangered),Diuris ochroma (Diuris ochroma),,,,,,Present,,,,,Present,,,,,,,,,,
55085,Diuris oporina, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,Near Threatened,Diuris oporina,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
15345,Diuris palustris, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,Endangered,Diuris palustris,Threatened (Vulnerable),Diuris palustris (Diuris palustris),,,,,,,,,Present,Present,Present,,,,,,,,,,
10317,Diuris parvipetala, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,Vulnerable,Diuris parvipetala,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
18325,Diuris pedunculata,"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Endangered,Diuris pedunculata,16-Jul-00,,,,,,,,,,,,,,,29-Apr-14,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Endangered,Diuris pedunculata,,,,,,,,,,,,,,,Present,Present,,Present,,,,,,,,,,,,,
55086,Diuris praecox,Newcastle Doubletail,Vulnerable,Diuris praecox,16-Jul-00,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Vulnerable,Diuris praecox,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
84114,Diuris protena,Northern Golden Moth Orchid,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened (Endangered),Diuris protena (Diuris protena),,,,,,,,,,,Present,,,,,,,,,,
7269,Diuris punctata,"Purple Donkey-orchid, Purple Double-tails, Purple Diuris, Purple Cowslip, Dotted Double-tails",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,Threatened (Vulnerable),Diuris punctata (Diuris punctata),,,,,,,,,,,Present,,,,,,,,,,
45792,Diuris punctata var. punctata,Purple Donkey-orchid,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,Endangered,Diuris punctata var. punctata,,,,,,,,,,,,,Present,,,,,,,,,,,,
12950,Diuris purdiei,Purdie's Donkey-orchid,Endangered,Diuris purdiei,16-Jul-00,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,,,,Endangered,Diuris purdiei,,,,,,,,,,Endemic,,,,,,,,,
85724,Diuris sp. aff. dendrobioides (Bairnsdale),Blotched Diuris,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,, (Endangered), (Diuris sp. aff. dendrobioides (Bairnsdale)),,,,,,,,,,,,,,,,,,,,,
82994,Diuris subalpina,"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,, (Endangered), (Diuris subalpina),,,,,,,,,,,,,,,,,,,,,
2291,Diuris sulphurea,"Tiger Orchid, Hornet Orchid",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,Rare,Diuris sulphurea,,,,,,,,,,,,,,,,,,,,,,,,,
23189,Diuris tricolor,"Spotted-throat Cowslip, Tricolour Diuris, Tricolour Donkey-orchid",,,,,,,,,,,,,,,,,,,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Vulnerable,Diuris tricolor,,,,,,,,,Threatened (Endangered),Diuris tricolor (Diuris tricolor),,,,,,"Present, Present",,Present,,,Present,,,,,,,,,,
6425,Diuris venosa,"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Vulnerable,Diuris venosa,16-Jul-00,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,Vulnerable,Diuris venosa,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
85725,Diuris x fastidiosa,Proud Diuris,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Diuris,monocots (single seed leaf),,,,,,,,,,,,, (Endangered), (Diuris x fastidiosa),,,,,,,,,,,,,,,,,,,,,
85381,Divellomelon hillieri,land snail,,,,,,,,,,,,,,,,,,,,,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,Divellomelon,"snails, slugs",,,,,Vulnerable,Divellomelon hillieri,,,,,,,,,,,Vulnerable,Divellomelon hillieri,,,Present,,,,,,,,,,,,,,
202,Dobsonia moluccensis,Bare-backed Fruit Bat,,,,,,,,,,,,,,,,,,,,,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Dobsonia,mammals,,,,,,,,,,,,,,,,,Least Concern,Dobsonia moluccensis,,,,,,,,,,,,,,,,,
87219,Dockrillia wassellii,Pencil Orchid,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Dockrillia,monocots (single seed leaf),,,,,,,Near Threatened,Dockrillia wassellii,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
9992,Dodonaea boroniifolia,"Hairy Hop-bush, Boronia-leaved Hop-bush",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,, (Rare), (Dodonaea boroniifolia),,,,,,,,,,,,,,,,,,,,,
10262,Dodonaea heteromorpha, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,, (Extinct), (Dodonaea heteromorpha),,,,,,,,,,,,,,,,,,,,,
12376,Dodonaea hexandra, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,, (Vulnerable), (Dodonaea hexandra),,,,,,,,,,,,,,,,,,,,,
15522,Dodonaea hirsuta, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,Vulnerable,Dodonaea hirsuta,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
9398,Dodonaea microzyga var. microzyga,Brilliant Hopbush,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,Endangered,Dodonaea microzyga var. microzyga,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
12522,Dodonaea platyptera, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Dodonaea platyptera,,,,,,,,,,,,,,,,,
12149,Dodonaea procumbens,Trailing Hop-bush,Vulnerable,Dodonaea procumbens,16-Jul-00,,,,,,,,,,,,,,,,13-Aug-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,Vulnerable,Dodonaea procumbens,,,,,Vulnerable,Dodonaea procumbens,,, (Vulnerable), (Dodonaea procumbens),,,,,Present,Present,,,Present,,Present,,,,,,,,,,
14717,Dodonaea rhombifolia,Broad-leaf Hop-bush,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,, (Rare), (Dodonaea rhombifolia),,,,,,,,,,,,,,,,,,,,,
15140,Dodonaea rupicola,Velvet Hopbush,Vulnerable,Dodonaea rupicola,16-Jul-00,,,,,,,,,,,,,,,1-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,Vulnerable,Dodonaea rupicola,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
6815,Dodonaea sinuolata subsp. acrodentata,a hopbush,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,Endangered,Dodonaea sinuolata subsp. acrodentata,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
9703,Dodonaea stenophylla, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,Extinct,Dodonaea stenophylla,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
12324,Dodonaea stenozyga, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,Critically Endangered,Dodonaea stenozyga,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
11956,Dodonaea subglandulifera,Peep Hill Hop-bush,Endangered,Dodonaea subglandulifera,16-Jul-00,,,,,,,,,,,,,,,,13-Aug-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,Endangered,Dodonaea subglandulifera,,,,,,,,,,,,,Endemic,,,,,,,,,,,,
9918,Dodonaea truncatiales,Angular Hop-bush,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,, (Vulnerable), (Dodonaea truncatiales),,,,,,,,,,,,,,,,,,,,,
2107,Dodonaea uncinata, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,Near Threatened,Dodonaea uncinata,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
13688,Dodonaea viscosa,"Sticky Hop-bush, Giant Hop-bush",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Dodonaea viscosa,,,,,,,,,,,,,,,,,
4320,Dodonaea viscosa subsp. angustifolia, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,dicots (two seed leaves),,,,,,,,,,,,, (Rare), (Dodonaea viscosa subsp. angustifolia),,,,,,,,,,,,,,,,,,,,,
86580,Dolapex amiculus,land snail,,,,,,,,,,,,,,,,,,,,,Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,Dolapex,"snails, slugs",,,,,,,,,,,,,,,,,Endangered,Dolapex amiculus,,,,,,,,,,,,,,,,,
10018,Dolichandrone filiformis, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Bignoniaceae,Dolichandrone,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Dolichandrone filiformis,,,,,,,,,,,,,,,,,
6860,Dolichandrone heterophylla, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Bignoniaceae,Dolichandrone,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Dolichandrone heterophylla,,,,,,,,,,,,,,,,,
23951,Dolichandrone spathacea, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Bignoniaceae,Dolichandrone,dicots (two seed leaves),,,,,,,Near Threatened,Dolichandrone spathacea,,,,,,,,,Least Concern,Dolichandrone spathacea,,,,Present,,,,,,,,,,,,,
91415,Donella lanceolata,Star Apple,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Ebenales,Sapotaceae,Donella,dicots (two seed leaves),,,,,,,Near Threatened,Donella lanceolata,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
12531,Doodia aspera,Prickly Rasp-fern,,,,,,,,,,,,,,,,,,,,,Plantae,Polypodiophyta,Polypodiatae,Blechnales,Blechnaceae,Doodia,"bracken, ferns",,,,,,,,,,,Endangered,Blechnum neohollandicum,,,,,,,,,,,,,,,,,,,,,,,
