Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Kingdom,Class,Family,Genus,Species
Potorous platyops,"BroadNafaced Potoroo, Moda",Extinct,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,195,Animalia,Mammalia,Potoroidae,Potorous,platyops
Lasiorhinus krefftii,"Northern HairyNanosed Wombat, Yaminon",Critically Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,198,Animalia,Mammalia,Vombatidae,Lasiorhinus,krefftii
Bettongia tropica,Northern Bettong,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,214,Animalia,Mammalia,Potoroidae,Bettongia,tropica
Caloprymnus campestris,Desert RatNakangaroo,Extinct,Na,Na,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,215,Animalia,Mammalia,Potoroidae,Caloprymnus,campestris
Potorous longipes,LongNafooted Potoroo,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,217,Animalia,Mammalia,Potoroidae,Potorous,longipes
Petrogale penicillata,BrushNatailed RockNawallaby,Vulnerable,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,225,Animalia,Mammalia,Macropodidae,Petrogale,penicillata
Petrogale persephone,Proserpine RockNawallaby,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,226,Animalia,Mammalia,Macropodidae,Petrogale,persephone
Setonix brachyurus,Quokka,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,229,Animalia,Mammalia,Macropodidae,Setonix,brachyurus
Onychogalea fraenata,"Bridled NailNatail Wallaby, Bridled Nailtail Wallaby",Endangered,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,239,Animalia,Mammalia,Macropodidae,Onychogalea,fraenata
Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,240,Animalia,Mammalia,Macropodidae,Onychogalea,lunata
Lagorchestes asomatus,"Kuluwarri, Central HareNawallaby",Extinct,Na,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,243,Animalia,Mammalia,Macropodidae,Lagorchestes,asomatus
Lagorchestes leporides,Eastern HareNawallaby,Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,246,Animalia,Mammalia,Macropodidae,Lagorchestes,leporides
Petauroides volans,Greater Glider,Vulnerable,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,254,Animalia,Mammalia,Petauridae,Petauroides,volans
Burramys parvus,Mountain PygmyNapossum,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,267,Animalia,Mammalia,Burramyidae,Burramys,parvus
Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,273,Animalia,Mammalia,Petauridae,Gymnobelideus,leadbeateri
Perameles eremiana,"Desert Bandicoot, Walilya",Extinct,Na,Na,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,279,Animalia,Mammalia,Peramelidae,Perameles,eremiana
Macrotis lagotis,Greater Bilby,Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,282,Animalia,Mammalia,Thylacomyidae,Macrotis,lagotis
Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Na,Na,Yes,Yes,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,283,Animalia,Mammalia,Thylacomyidae,Macrotis,leucura
Sminthopsis psammophila,Sandhill Dunnart,Endangered,Na,Na,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,291,Animalia,Mammalia,Dasyuridae,Sminthopsis,psammophila
Myrmecobius fasciatus,Numbat,Endangered,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,294,Animalia,Mammalia,Myrmecobiidae,Myrmecobius,fasciatus
Chaeropus ecaudatus,"PigNafooted Bandicoot, Kanjilpa, Wilalya",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,297,Animalia,Mammalia,Peramelidae,Chaeropus,ecaudatus
Sarcophilus harrisii,Tasmanian Devil,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,299,Animalia,Mammalia,Dasyuridae,Sarcophilus,harrisii
Sminthopsis butleri,Butler's Dunnart,Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,302,Animalia,Mammalia,Dasyuridae,Sminthopsis,butleri
Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,305,Animalia,Mammalia,Dasyuridae,Sminthopsis,douglasi
Parantechinus apicalis,Dibbler,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,313,Animalia,Mammalia,Dasyuridae,Parantechinus,apicalis
Phascogale calura,"RedNatailed Phascogale, RedNatailed Wambenger, Kenngoor",Vulnerable,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,316,Animalia,Mammalia,Dasyuridae,Phascogale,calura
Dasyuroides byrnei,"Kowari, brushyNatailed marsupial rat, Byrne's crestNatailed marsupial rat ",Vulnerable,Na,Na,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,329,Animalia,Mammalia,Dasyuridae,Dasyuroides,byrnei
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,330,Animalia,Mammalia,Dasyuridae,Dasyurus,geoffroii
Dasyurus hallucatus,"Northern Quoll, Digul [GogoNaYimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Na,Na,Yes,Yes,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,331,Animalia,Mammalia,Dasyuridae,Dasyurus,hallucatus
Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,333,Animalia,Mammalia,Dasyuridae,Dasyurus,viverrinus
Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,342,Animalia,Mammalia,Thylacinidae,Thylacinus,cynocephalus
