,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
808,Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush",Extinct,Plantae,Magnoliopsida,Asteraceae,Ozothamnus,selaginoides
923,Galaxiella pusilla,"Eastern Dwarf Galaxias, Dwarf Galaxias",Vulnerable,Animalia,Actinopterygii,Galaxiidae,Galaxiella,pusilla
936,Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Animalia,Aves,Acanthizidae,Acanthiza,pusilla
957,Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Animalia,Aves,Diomedeidae,Diomedea,amsterdamensis
958,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Animalia,Malacostraca,Parastacidae,Astacopsis,gouldi
959,Brachionichthys hirsutus,Spotted Handfish,Critically Endangered,Animalia,Actinopterygii,Brachionichthyidae,Brachionichthys,hirsutus
961,Aquila audax fleayi,"Tasmanian WedgeNatailed Eagle, WedgeNatailed Eagle (Tasmanian)",Endangered,Animalia,Aves,Accipitridae,Aquila,audax
963,Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Extinct,Animalia,Aves,Dromaiidae,Dromaius,novaehollandiae
964,Fregetta grallaria grallaria,"WhiteNabellied StormNaPetrel (Tasman Sea), WhiteNabellied StormNaPetrel (Australasian)",Vulnerable,Animalia,Aves,Hydrobatidae,Fregetta,grallaria
970,Pachyptila turtur subantarctica,Fairy Prion (southern),Vulnerable,Animalia,Aves,Procellariidae,Pachyptila,turtur
974,Sterna vittata bethunei,"New Zealand Antarctic Tern, Antarctic Tern (New Zealand)",Endangered,Animalia,Aves,Laridae,Sterna,vittata
977,Diomedea sanfordi,Northern Royal Albatross,Endangered,Animalia,Aves,Diomedeidae,Diomedea,sanfordi
978,Thalassarche eremita,Chatham Albatross,Endangered,Animalia,Aves,Diomedeidae,Thalassarche,eremita
979,Diomedea antipodensis,Antipodean Albatross,Vulnerable,Animalia,Aves,Diomedeidae,Diomedea,antipodensis
980,Thalassarche impavida,"Campbell Albatross, Campbell BlackNabrowed Albatross",Vulnerable,Animalia,Aves,Diomedeidae,Thalassarche,impavida
