,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
43,Acacia lauta,Tara Wattle,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
44,Acacia leptalea,Chinocup Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
45,Acacia leptoneura,,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
46,Acacia lobulata,Chiddarcooping Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
47,Acacia macnuttiana,McNutt's Wattle,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
48,Acacia meiantha,,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
49,Acacia menzelii,Menzel's Wattle,Vulnerable,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
50,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Present,"NT, QLD, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
51,Acacia pharangites,Wongan Gully Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
52,Acacia phasmoides,Phantom Wattle,Vulnerable,Present,"NSW, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
53,Acacia pickardii,Birds Nest Wattle,Vulnerable,Present,"NT, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
54,Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
55,Acacia porcata,,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
56,Acacia praemorsa,Senna Wattle,Vulnerable,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
